SERVICE REQUESTS,,,,,,,,,,,
Support tickets per client — 38 rows total across all types and statuses,,,,,,,,,,,
,,,,,,,,,,,
Ticket Id,Client Id,Company Name,Request Type,Description,Priority,Status,Submitted Date,Assigned To,Resolved Date,Days Open,Client Notes
SR-0001,CLT-001,Nexus Logistics,Headcount Change,Request to add or remove contracted seats,Low,Resolved,2026-03-17,IT Support Team,2026-03-25,0,No further action required
SR-0002,CLT-001,Nexus Logistics,Facilities,"Aircon, lighting, cleaning, or furniture request",Medium,Open,2026-05-02,HR & Compliance,,31,Client followed up via email
SR-0003,CLT-001,Nexus Logistics,Headcount Change,Request to add or remove contracted seats,Low,Resolved,2026-02-28,HR & Compliance,2026-03-14,0,Awaiting client confirmation
SR-0004,CLT-001,Nexus Logistics,IT Support,"Hardware, software, or connectivity issue",Medium,Resolved,2026-03-09,Account Management,2026-03-18,0,
SR-0005,CLT-001,Nexus Logistics,Contract Query,Question about contract terms or renewal,Medium,In Progress,2026-04-08,Account Management,,55,Escalated to senior team
SR-0006,CLT-001,Nexus Logistics,Other,General inquiry or miscellaneous request,High,Resolved,2026-03-10,IT Support Team,2026-03-18,0,Awaiting client confirmation
SR-0007,CLT-001,Nexus Logistics,IT Support,"Hardware, software, or connectivity issue",Medium,Resolved,2026-05-24,HR & Compliance,2026-05-25,0,Awaiting client confirmation
SR-0008,CLT-002,BrightPath BPO,Headcount Change,Request to add or remove contracted seats,Medium,Open,2026-03-03,IT Support Team,,91,Client followed up via email
SR-0009,CLT-002,BrightPath BPO,Facilities,"Aircon, lighting, cleaning, or furniture request",Medium,Resolved,2026-05-23,Operations Team,2026-05-27,0,Awaiting client confirmation
SR-0010,CLT-002,BrightPath BPO,Contract Query,Question about contract terms or renewal,High,Resolved,2026-05-16,Facilities Team,2026-05-26,0,Escalated to senior team
SR-0011,CLT-003,Horizon Retail,IT Support,"Hardware, software, or connectivity issue",High,Open,2026-05-20,Account Management,,13,Escalated to senior team
SR-0012,CLT-003,Horizon Retail,Access & Security,"Badge, visitor pass, or door access request",Low,Open,2026-04-03,IT Support Team,,60,Escalated to senior team
SR-0013,CLT-003,Horizon Retail,Other,General inquiry or miscellaneous request,Medium,Open,2026-04-19,Facilities Team,,44,Awaiting client confirmation
SR-0014,CLT-003,Horizon Retail,Contract Query,Question about contract terms or renewal,High,In Progress,2026-04-05,Facilities Team,,58,No further action required
